"Account number",'Número de cuenta'
"Invalid characters.", 'Caracteres desconocidos'
"Maximum length of 27 characters exceeded.", 'Ha sobrepasado el número máximo de caracteres (máx. 27).'
"Invalid email address.", 'El pedido no puede ser efectuado puesto que la dirección de correo electrónico es errónea. Por favor, corrija e inténtelo de nuevo.'
"Invalid phone number.", 'No se ha podido efectuar el pedido puesto que el número telefónico introducido no es correcto. Por favor, corrija e inténtelo de nuevo.'
"Invalid country code.", 'El código del país no es compatible. Por favor, contacte con el administrador de la tienda.'
"Unsupported country code.", 'El BIC introducido no es válido.'
"Invalid BIC.", 'No se ha podido efectuar la orden puesto que el código BIC introducido no es correcto. Por favor, corrija e inténtelo de nuevo.'
"Only German addresses (DE) are supported.", 'No se puede efectuar la orden puesto que el código del país introducido no es correcto. La dirección de entrega y de factura debe ser de Alemania.'
"Product only supports German sender accounts.", 'Sólo se aceptan cuentas de Alemania. Por favor, corrija o seleccione otro método de pago.'
"Invoice amount exceeds amount limit in factoring contract.", 'El importe total es demasiado alto. Por favor, corrija e inténtelo de nuevo.'
"Invoice amount is lower than minimum amount defined in project settings.", 'El importe total es demasiado bajo. Por favor, corrija e inténtelo de nuevo.'
"Invalid tax, allowed values are: 7, 19.", 'Valor para el IVA incorrecto. Valores válidos: 7,19.'
"Validation of given bank account and bank code failed.", 'La validación de la cuenta bancaria y del código de identificación bancaria ha fallado.'
"Maximum length of 255 characters exceeded.", 'Ha sobrepasado la cantidad máxima de 255 caracteres.'
"Invalid items found.", 'La petición contiene artículos no válidos. Por favor, corrija o contacte con el administrador de la tienda.'
"Payment not possible with this service.", 'Por favor, indique por lo menos el titular de la cuenta e inténtelo de nuevo.'
"Transaction with same data already created.", 'Ya existe una transacción con los datos que usted ha proporcionado.'
"This service is currently only accessible by non-commercial customers.", 'Kauf auf Rechnung está disponible actualmente sólo para clientes privados.'
"Version Number",'Número de la versión'
"https://images.sofort.com/de/su/landing.php",'https://images.sofort.com/es/su/landing.php'
"https://images.sofort.com/de/su/banner_150x200.png",'https://images.sofort.com/es/su/banner_150x200.png'
"https://images.sofort.com/de/sl/logo_155x50.png",'https://images.sofort.com/es/sl/logo_155x50.png'
"https://images.sofort.com/de/sl/banner_300x100.png",'https://images.sofort.com/es/sl/banner_300x100.png'
"https://images.sofort.com/de/su/logo_155x50.png",'https://images.sofort.com/es/su/logo_155x50.png'
"https://images.sofort.com/de/su/banner_400x100_ks.png",'https://images.sofort.com/es/su/banner_400x100_ks.png'
"https://images.sofort.com/de/su/banner_300x100.png",'https://images.sofort.com/es/su/banner_300x100.png'
"Kauf auf Rechnung not allowed for downloadable or virtual products","Kauf auf Rechnung nicht möglich bei Download Produkten"
